x,y,cp,dun
0.985147863,0.003632655,0.12936955,0.000218247
0.982962913,0.004006751,0.125576503,0.000237054
0.980630848,0.00440513,0.121493158,0.000257795
0.978152378,0.004827411,0.117110261,0.000280762
0.975528258,0.005273071,0.11244627,0.000306106
0.972759288,0.00574156,0.107521091,0.000334568
0.96984631,0.006232411,0.102345817,0.000366209
0.966790213,0.006745171,0.096928751,0.000400648
0.963591927,0.007279392,0.091301033,0.000438118
0.960252427,0.007834739,0.085477532,0.000477503
0.956772729,0.008410933,0.079433381,0.000517302
0.953153894,0.009007603,0.073214321,0.000558253
0.949397023,0.009624154,0.066818428,0.00059892
0.945503262,0.010259841,0.06027676,0.000639047
0.941473796,0.010913984,0.053648529,0.00067907
0.937309854,0.011586105,0.046914367,0.000718612
0.933012702,0.012275814,0.040109424,0.000757755
0.92858365,0.012982673,0.033228115,0.000796837
0.924024048,0.013706161,0.026297024,0.000835554
0.919335284,0.014445708,0.019305324,0.000873727
0.914518786,0.015200704,0.012296072,0.000911783
0.909576022,0.015970428,0.005279213,0.000949669
0.904508497,0.016754093,-0.001716806,0.00098689
0.899317755,0.017551011,-0.008690504,0.001023462
0.894005377,0.0183607,-0.015615934,0.001059496
0.888572981,0.019182803,-0.022534686,0.001094728
0.883022222,0.020016851,-0.029436381,0.001129828
0.87735479,0.020862132,-0.036327696,0.001164813
0.871572413,0.021717868,-0.043164409,0.00119912
0.865676851,0.022583314,-0.049964715,0.001233071
0.8596699,0.023457828,-0.056696819,0.001266564
0.853553391,0.024340821,-0.063384163,0.001299313
0.847329185,0.02523168,-0.070028932,0.001331916
0.84099918,0.026129795,-0.076629197,0.001364126
0.834565303,0.027034557,-0.083186926,0.001395963
0.828029514,0.027945321,-0.08969773,0.001427624
0.821393805,0.028861388,-0.096166491,0.001459163
0.814660196,0.029782057,-0.102579136,0.001490672
0.807830738,0.030706645,-0.108940111,0.001521824
0.800907512,0.031634582,-0.115251884,0.001552809
0.793892626,0.032565331,-0.121528464,0.001582963
0.786788218,0.033498305,-0.127798341,0.001613501
0.779596452,0.034432822,-0.134030055,0.001644503
0.772319518,0.035368177,-0.140215946,0.001675169
0.764959632,0.036303685,-0.146377509,0.001705558
0.757519037,0.037238668,-0.152509406,0.001735637
0.75,0.038172472,-0.158600966,0.001766324
0.74240481,0.039104443,-0.164664428,0.001797226
0.734735781,0.040033934,-0.170695413,0.00182802
0.72699525,0.040960314,-0.176690996,0.001858621
0.719185573,0.04188296,-0.182661811,0.001888892
0.711309131,0.042801323,-0.188615229,0.001919826
0.703368322,0.043714874,-0.19456792,0.001950763
0.695365564,0.044623021,-0.200534734,0.00198139
0.687303297,0.045525019,-0.20648784,0.002013188
0.679183975,0.046420071,-0.212417423,0.002045221
0.671010072,0.047307466,-0.218328202,0.00207664
0.662784077,0.048186621,-0.224210718,0.002108517
0.654508497,0.049057016,-0.230077659,0.002140785
0.646185852,0.049918102,-0.235956939,0.002172541
0.637818678,0.050769259,-0.24183726,0.002204762
0.629409523,0.051609849,-0.24772931,0.002238146
0.620960948,0.052439244,-0.253625007,0.002271783
0.612475527,0.053256745,-0.25951863,0.002305174
0.603955845,0.054061653,-0.265395505,0.002339053
0.595404498,0.054853329,-0.271258648,0.002373385
0.586824089,0.055631205,-0.277127573,0.002407456
0.578217233,0.056394771,-0.283001126,0.002441659
0.56958655,0.057143512,-0.288874693,0.002476488
0.560934672,0.057876862,-0.294773975,0.002512097
0.552264232,0.058594293,-0.300716515,0.002548224
0.543577871,0.059295192,-0.306691736,0.002584615
0.534878237,0.059978825,-0.312667831,0.002621306
0.526167978,0.060644425,-0.318622806,0.002658236
0.517449748,0.061291321,-0.324567901,0.002695068
0.508726203,0.061919101,-0.330516145,0.002732499
0.5,0.062527453,-0.336494743,0.002770727
0.491273797,0.063115945,-0.342518443,0.00280949
0.482550252,0.063683942,-0.348579431,0.002848338
0.473832022,0.064230727,-0.35466181,0.002887096
0.465121763,0.064755683,-0.360755,0.002926378
0.456422129,0.065258366,-0.366851759,0.002966729
0.447735768,0.065738408,-0.372985439,0.003007432
0.439065328,0.066195375,-0.379180627,0.003048375
0.43041345,0.066628711,-0.385424884,0.003089941
0.421782767,0.06703782,-0.391692391,0.00313195
0.413175911,0.067422197,-0.397982009,0.003174083
0.404595502,0.067781466,-0.404320799,0.003216086
0.396044155,0.068115312,-0.410734911,0.00325882
0.387524473,0.068423426,-0.417237342,0.003302663
0.379039052,0.068705485,-0.423865611,0.003346784
0.370590477,0.068961166,-0.430680896,0.003390997
0.362181322,0.069190078,-0.437679233,0.003437041
0.353814148,0.069391478,-0.444773684,0.003483805
0.345491503,0.069564493,-0.451899785,0.003528842
0.337215923,0.069708969,-0.459166088,0.003572331
0.328989928,0.069825862,-0.467056996,0.003618903
0.320816025,0.069916829,-0.476232094,0.003675055
0.312696703,0.069981792,-0.486852035,0.003743336
0.304634436,0.070015171,-0.498230286,0.003818776
0.296631678,0.070010203,-0.509391133,0.003894588
0.288690869,0.069961371,-0.519651297,0.003968825
0.280814427,0.069865661,-0.52870563,0.004040126
0.27300475,0.06972117,-0.536397907,0.004105727
0.265264219,0.069526603,-0.54267493,0.004164639
0.25759519,0.069282348,-0.547709965,0.004218604
0.25,0.068989616,-0.551791644,0.004269082
0.242480963,0.068649525,-0.55512448,0.004316367
0.235040368,0.06826278,-0.557765064,0.004360365
0.227680482,0.067829987,-0.55969388,0.004402156
0.220403548,0.067351865,-0.560947566,0.004441947
0.213211782,0.066829223,-0.561555204,0.004478529
0.206107374,0.06626297,-0.561523802,0.004513023
0.199092488,0.065654069,-0.560902927,0.00454718
0.192169262,0.06500333,-0.559709438,0.004579805
0.185339804,0.06431149,-0.557884766,0.004610213
0.178606195,0.06357945,-0.555392295,0.004639271
0.171970486,0.062808251,-0.55225108,0.004666366
0.165434697,0.061999085,-0.5485397,0.004691927
0.15900082,0.061153218,-0.544316679,0.004717418
0.152670815,0.060271717,-0.539542577,0.004742566
0.146446609,0.059355473,-0.534172956,0.004766425
0.1403301,0.058405549,-0.528173267,0.004789563
0.134323149,0.057423067,-0.521524815,0.00481135
0.128427587,0.056409221,-0.514252392,0.004831941
0.12264521,0.055365366,-0.506396909,0.004852099
0.116977778,0.054292722,-0.497929404,0.004871415
0.111427019,0.053192377,-0.488795077,0.00488964
0.105994623,0.052065622,-0.479004686,0.004907023
0.100682245,0.050913711,-0.468516768,0.004923535
0.095491503,0.049737871,-0.457307133,0.00493891
0.090423978,0.048539535,-0.445429076,0.004954025
0.085481214,0.04732006,-0.432847412,0.00496832
0.080664716,0.046080521,-0.419464545,0.004981431
0.075975952,0.044822326,-0.405325458,0.00499477
0.07141635,0.043546765,-0.390363489,0.00500802
0.066987298,0.042254832,-0.374398914,0.00501936
0.062690146,0.04094785,-0.357451919,0.005030144
0.058526204,0.039627224,-0.339463936,0.005040263
0.054496738,0.038294015,-0.320248288,0.005048082
0.050602977,0.036949757,-0.299957868,0.005056457
